name,region,variety,rating,notes
Acacia Pinot Noir 1998,"Carneros, California",Red Wine,88,Pinot Noir is the soul of the winery. It is a wine we love to make and love to drink. We bottle the major portion as Carneros; individual vineyards which produce distinct and superb wines are bottled separately as Reserves or vineyard designates.
Acacia Pinot Noir 2000,"Carneros, California",Red Wine,88,"The 2000 Carneros Pinot Noir is dark ruby red in color.  Teaberry, Satsuma plum, toffee and rose petal appear prominently in the aroma.  And then there are the baking spices: cardamom, nutmeg and cinnamon before ending with earth.  On the palate, it offers very silky and seductive texture and particularly long lasting flavors.  This wine is an easy match for roasted meats, and lamb is our particular favorite. -Michael Terrien, Winemaker"
Acacia Pinot Noir 2001,"Carneros, California",Red Wine,89,"The Carneros Pinot Noir is dark ruby red in color.  Teaberry, Satsuma plum, toffee and rose petal appear prominently in the aroma.  And then there are the baking spices: cardamom, nutmeg and cinnamon before ending with earth.  On the palate, it offers very silky and seductive texture and particularly long lasting flavors.  This wine is an easy match for roasted meats, and lamb is our particular favorite. -Michael Terrien, Winemaker"
Acacia Pinot Noir 2002,"Carneros, California",Red Wine,90," The 2000 Carneros Pinot Noir is dark ruby red in color. Teaberry, Satsuma plum, toffee and rose petal appear prominently in the aroma. And then there are the baking spices: cardamom, nutmeg,and cinnamon before ending with earth. On the palate, it offers very silky and seductive texture and particularly long-lasting flavors. This wine is an easy match for roasted meats, and lamb is our particular favorite."
Acacia Pinot Noir Lee 1997,"Carneros, California",Red Wine,94,"In 1997 Acacia made wine of such compelling warmth and strength from the first fruit off these new vines that we deemed it an imperative to return Lee Pinot Noir to its own bottle.  This wine speaks to the future of Carneros as it expresses itself with weighty wines, deeply colored and ornately perfumed."
Acacia Pinot Noir Lee 1998,"Carneros, California",Red Wine,89,"Each year we select only the best vineyards for our Single Vineyard Series.  Lee Vineyard earned its own bottling in 1998.  The wine is highly fragrant with rose petal, sweet tobacco, strawberry jam, crushed blackberries, black pepper and hibiscus aromas.  The medium body is rich and full up front, turning to sweet tannins, toast, and chocolate mint on the long, cherry finish.  Huge fruit at the front of the palate and more austere toward the finish.  It was delicious in late 2000 and will continue to be good for several years."
Acacia Pinot Noir Lee 1999,"Carneros, California",Red Wine,89,"Each year we select only the best vineyards for our Single Vineyard Series.  Lee Vineyard earned its own bottling in 1998.  The wine is highly fragrant with rose petal, sweet tobacco, strawberry jam, crushed blackberries, black pepper and hibiscus aromas.  The medium body is rich and full up front, turning to sweet tannins, toast, and chocolate mint on the long, cherry finish.  Huge fruit at the front of the palate and more austere toward the finish.  It was delicious and will continue to be good for several years."
Acacia St. Clair Pinot Noir 2000,"Carneros, California",Red Wine,90,"The 2000 St. Clair Pinot Noir is defined by an elegant and refined character rather than profound tannin. Deep, rich aromas of leather, tar and cherry are touched with the sweet embrace of toast. Lightness at first in the mouth builds up with fresh-crushed berries on the long finish. It pares exquisitely with roasts,particularly lamb. Cellar up to 2005."
Acacia St. Clair Pinot Noir 2001,"Carneros, California",Red Wine,91,"""A purple robe of color and aromatic fruit covers this big, velvet-textured pinot. It's heavy with extract, the red cherry flavors underlain by dark tannins that close it off in chocolate and earthiness. The tannins will need years to meld, but there's plenty of cherry fruit to absorb and last through them."""
Accendo Cellars Cabernet Sauvignon 2016,"Napa Valley, California",Red Wine,96,"Reflecting the outstanding vintage, the captivating nose of this wine shows dark and brooding aromas of cassis,plum and blackberry, touched by exotic notes of lavender, anise, pencil lead and leather. On the palate, rich flavorsof ripe black fruits are wrapped around a firm structure of fine-grained tannins, minerality and beautiful freshnessthat carry on into the long, satisfying finish. Per winemakers Fran?oise Peschon and Nigel Kinsman: ¡°The consistency ofan exceptional vintage is expressed in the purity, length and fineness of this wine ? it is deep and powerful, yet perfectly integrated, seamlessfrom approach to finish, full of plush flavor from ripe fruit, ending with silky tannins and graphite that linger on the palate.¡±"
Accendo Cellars Sauvignon Blanc 2017,"Napa Valley, California",White Wine,92,"Floral aromas of jasmine, honeysuckle and citrus blossoms add exotic notes to the tropical fruit aromas of guava, green mango, passion fruit and litchi, nuanced by touches of lemon curd, vanilla bean and spicy ginger.  In the mouth, a firm and fine line of acidity provides brightness to the fleshy mid palate, while a lingering minerality, reminiscent of the sea, extends the long finish.  A blend of Sauvignon Blanc, Sauvignon Musque and Semillon, the wine is refreshing, persistent, restrained and sophisticated. "
Accordini Igino Le Bessole Amarone della Valpolicella 2007,"Valpolicella, Veneto, Italy",Red Wine,92,Accordini Igino Le Bessole is an intense garnet color. Black cherry and raspberry aromas. The mouth is full and persistent with a good structure.
Accordini Igino Le Bessole Amarone della Valpolicella 2011,"Valpolicella, Veneto, Italy",Red Wine,90,"A great character and personality, the wine boasts an intense garnet color, black cherry and raspberry aromas, spicy notes and liquorice. The mouth is full and persistent, soft and smooth with a good structure. A precious and elegant Amarone, drinkable in every situation, glass after glass. "
Achaia Clauss Mavrodaphne,Greece,,88,"A full-bodied red dessert wine that dates back to 1854, Mavrodaphne has a rich yet delicate taste and a Port style aroma with hints of coffee, toffee and rich, spicy nuts. Refined raisin and black cherry fruit flavors are layered with smoky, caramel tones. "
Achaval-Ferrer Finca Altamira Malbec (1.5 Liter Magnum) 2009,Argentina,Red Wine,92,"Old-vine Malbec, planted on its own roots, from the La Consulta region of the Uco Valley, Mendoza. Finca Altamira's personality shines through this wine, vintage after vintage, with a recognizable and repeated signature. "
Achaval-Ferrer Finca Altamira Malbec 2001,Argentina,Red Wine,92,"This is an exceptional single-vineyard Malbec varietal. In the glass I see a very deep color, almost black, dense and well defined, with purple overtones. It has aromas of mature fruit in optimal balance with the sweet tannins of the oak, and notes of mint and chocolate. True to itself, again this year Altamira shows its unique ""signature"". In the mouth I feel a enveloping caress, then a round sensation, a fascinating mixture of fruit confection made lighter by a balsamic note. The finish is extremely long and mineral. "
Achaval-Ferrer Finca Altamira Malbec 2002,Argentina,Red Wine,94,"Rich, fresh and opulent. Complex and fascinating. Like an old man full of wisdom, Altamira will always have something new to tell us."
Achaval-Ferrer Finca Altamira Malbec 2007,Argentina,Red Wine,90,"We work as hard as necessary during eleven months in the vineyard, to produce grapes that will need very little intervention during the winemaking process. The climate, the viticultural program, the irrigation management: Everything is thought as a step towards the goal of true expression of the vineyard. Finca Altamira's personality shines through the wine, vintage after vintage, with a recognizable and repeated signature. Fermentation took place in a small tank. At dryness, the wine was pressed and racked into French oak barrels, 100% new, where it was then aged for 15 months."
Achaval-Ferrer Finca Altamira Malbec 2006,Argentina,Red Wine,93,"From now on, we decided not to publish tasting notes on our wines.  We feel the wine experience is individual and subjective, and it should be our customers writing tasting notes, not us."
Achaval-Ferrer Finca Altamira Malbec 2008,Argentina,Red Wine,93,"All our wines are bottled without fining or filtering. There is additional risk in this, but we prefer not to stripe the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality. We strongly recommend decanting this wine at least an hour before drinking."
Achaval-Ferrer Finca Altamira Malbec 2009,"Mendoza, Argentina",Red Wine,92,"All our wines are bottled without fining or filtering. There is additional risk in this, but we prefer not to stripe the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality. We strongly recommend decanting this wine at least an hour before drinking."
Achaval-Ferrer Finca Altamira Malbec 2010,"Mendoza, Argentina",Red Wine,93,"All our wines are bottled without fining or filtering. There is additional risk in this, but we prefer not to stripe the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality. We strongly recommend decanting this wine at least an hour before drinking."
Achaval-Ferrer Finca Altamira Malbec 2012,"Mendoza, Argentina",Red Wine,92,"All Achaval-Ferrer's wines are bottled without fining or filtering. There is additional risk in this, but they prefer not to strip the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality."
Achaval-Ferrer Finca Altamira Malbec 2011,"Mendoza, Argentina",Red Wine,95,"All Achaval-Ferrer's wines are bottled without fining or filtering. There is additional risk in this, but they prefer not to strip the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality."
Achaval-Ferrer Finca Altamira Malbec 2013,"Mendoza, Argentina",Red Wine,92,"Medium dark ruby in color, this Malbec offers aromas of blackberries, black plums, violets, currants and a hint of leather on the nose. It is silky on the palate, with fresh acidity, refined tannins and a long, expressive and floral finish."
Achaval-Ferrer Finca Altamira Malbec 2014,"Mendoza, Argentina",Red Wine,95,"Dark medium ruby. Blackberry, black plum, violet, cassis and a touch of leather on the nose. Silky on the palate, fresh acidity and refined tannins. Marked layers of espresso with a long floral very expressive finish."
Achaval-Ferrer Finca Bella Vista Malbec (1.5 Liter Magnum) 2009,Argentina,Red Wine,91,"Achaval Ferrer Finca Bella Vista Malbec 2009 has an alluring bouquet of incense, violets, black cherry and blackberry. This wine is voluptuous and lengthy. "
Achaval-Ferrer Finca Bella Vista Malbec 2007,Argentina,Red Wine,92,"An alluring bouquet of incense, violets, black cherry and blackberry, this wine is voluptuous and lengthy."
Achaval-Ferrer Finca Bella Vista Malbec 2008,Argentina,Red Wine,91,"The Finca Bella Vista Malbec 2008 An alluring bouquet of incense, violets, black cherry and blackberry, this wine is voluptuous and lengthy.  Finca Bella Vista's personality shines through the wine, vintage after vintage, with a recognizable and repeated signature. "
Achaval-Ferrer Finca Bella Vista Malbec 2009,"Mendoza, Argentina",Red Wine,91,"Achaval Ferrer Finca Bella Vista Malbec 2009 has an alluring bouquet of incense, violets, black cherry and blackberry. This wine is voluptuous and lengthy."
Achaval-Ferrer Finca Bella Vista Malbec 2010,"Mendoza, Argentina",Red Wine,93, 
Achaval-Ferrer Finca Bella Vista Malbec 2011,"Mendoza, Argentina",Red Wine,95,"Achaval Ferrer Finca Bella Vista Malbec has an alluring bouquet of incense, violets, black cherry and blackberry. This wine is voluptuous and lengthy.  "
Achaval-Ferrer Finca Bella Vista Malbec 2012,"Mendoza, Argentina",Red Wine,92,"Bright, medium ruby. Vibrant, strong aromas of blackberry,violet, dark raspberry and crushed stone. Very well built finetannins, with superconcentrated body. Utterly silky finish with aperfumed back end."
Achaval-Ferrer Finca Bella Vista Malbec 2013,"Mendoza, Argentina",Red Wine,91,"Bright, medium ruby color. Vibrant, strong aromas of blackberry, violet, dark raspberry and crushed stone. Very well built, fine tannins with super concentrated body, Utterly silky finish with a perfumed back end. "
Achaval-Ferrer Finca Mirador Malbec 2005,"Mendoza, Argentina",Red Wine,93,"All our wines are bottled without fining or filtering. There is additional risk in this, but we prefer not to stripe the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality. We strongly recommend decanting this wine at least an hour before drinking."
Achaval-Ferrer Finca Mirador Malbec 2006,Argentina,Red Wine,92,"Finca Mirador's personality shines through the wine, vintage after vintage, with a recognizable and repeated signature. Fermentation took place in a small tank. At dryness, the wine was pressed and racked into French oak barrels, 100% new, where it was then aged for 15 months."
Achaval-Ferrer Finca Mirador Malbec 2007,Argentina,Red Wine,94,"With Finca Mirador our goal is to allow the vineyard to express its ""terroir"". Malbec is the flagship red variety from Argentina. It has found in Mendoza its true home. We work as hard as necessary during eleven months in the vineyard, to produce grapes that will need very little intervention during the winemaking process. The climate, the viticulturural program, the irrigation management: Everything is thought as a step towards the goal of true expression of the vineyard. Finca Mirador's personality shines through the wine, vintage after vintage, with a recognizable and repeated signature. Fermentation took place in a small tank. At dryness, the wine was pressed and racked into French oak barrels, 100% new, where it was then aged for 15 months."
Achaval-Ferrer Finca Mirador Malbec 2008,"Mendoza, Argentina",Red Wine,93,"With Finca Mirador our goal is to allow the vineyard to express its ""terroir"".  Malbec is the flagship red variety from Argentina. It has found in Mendoza its true home. We work as hard as necessary during eleven months in the vineyard, to produce grapes that will need very little intervention during the winemaking process. The climate, the viticulturural program, the irrigation management: Everything is thought as a step towards the goal of true expression of the vineyard.Finca Mirador's personality shines through the wine, vintage after vintage, with a recognizable and repeated signature.  "
Achaval-Ferrer Finca Mirador Malbec 2009,"Mendoza, Argentina",Red Wine,90,"A superb display of tasty new oak, lilac, spice, and black cherry, Finca Mirador has personality and structure. "
Achaval-Ferrer Finca Mirador Malbec 2010,"Mendoza, Argentina",Red Wine,94,"A superb display of tasty new oak, lilac, spice, and black cherry, Finca Mirador has personality and structure."
Achaval-Ferrer Finca Mirador Malbec 2013,"Mendoza, Argentina",Red Wine,91,"Pristine medium ruby. Layers of spice with aromas of blackberry, bitter chocolate, espresso, and tobacco. Displaying a savory character with graphite, leather and pepper. Finishes with chewy elegant tannins."
Achaval-Ferrer Finca Mirador Malbec 2014,"Mendoza, Argentina",Red Wine,90,"Pristine medium ruby. Layers of spice with aromas of blackberry, bitter chocolate and espresso-tobacco. Displaying a savory character with graphite, leather, and pepper. Herbs and spices add personality. Finishes with chewy elegant tannins. Endless possibilities in the cellar."
Achaval-Ferrer Mendoza Cabernet Sauvignon 2011,Argentina,Red Wine,91,"The profound relationship between the sun and the altitude of the Andes inspired us to explore other paths. The result is this Cabernet Sauvignon, with which we wish to share the expression of a mythical variety, whose echoes of freshness and seduction make it stand out for its elegance."
Achaval-Ferrer Mendoza Cabernet Sauvignon 2014,"Mendoza, Argentina",Red Wine,91,"As a precise depiction of its variety, Cabernet Mendoza is a sharp and direct message, where fruit overpowers the mineral hints. Mostly scattered through small vineyard canvases along Mendoz's ""primera zona"", this wine of limited output has a distinctive juicy texture, overflowing with black and red fruits. Far from abstraction, it unfolds a delightful path straight to pleasure. This Mendoza Cabernet Sauvignon unveils the spontaneity and vivacity of its youth. "
Achaval-Ferrer Mendoza Cabernet Sauvignon 2017,"Mendoza, Argentina",Red Wine,90,"An accurate reflection of its variety, Cabernet Mendoza delivers a sharp and direct message where the fruit overcomes the mineral nuances. Originating from small patches of vineyards located in the first area in Mendoza, this wine that has very little production highlights a juicy texture filled with black and red fruitiness. Far from abstractions it allows for a lovely walk toward that of pleasure. "
Achaval-Ferrer Mendoza Malbec 2006,Argentina,Red Wine,91,"""Compared to the 2005, the 2006 Malbec has a more expressive nose and is more structured. It would profit from 4-6 years of additional cellaring and will drink well through 2020."" 92 Points"
Achaval-Ferrer Mendoza Malbec 2007,Argentina,Red Wine,91,"This wine is bottled without fining or filtering. There is additional risk in this, but we prefer not to stripe the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality. We strongly recommend decanting this wine at least an hour before drinking."
Achaval-Ferrer Mendoza Malbec 2008,Argentina,Red Wine,91,"This wine is bottled without fining or filtering. There is additional risk in this, but we prefer not to stripe the wine of subtle flavors and aromas. The formation of deposits in the bottle will be noticeable after some cellaring time. This is no way affects quality. We strongly recommend decanting this wine at least an hour before drinking.  "
Achaval-Ferrer Mendoza Malbec 2010,Argentina,Red Wine,91,"Rich with luscious raspberry and macerated currant, Mendoza Malbec has dark, juicy finish. This wine is vivid and racy in character."
Achaval-Ferrer Mendoza Malbec 2011,Argentina,Red Wine,92,"Intense, pure, full colors and young aromas. This wine completes Achaval Ferrer's vision of Malbec. Rich with luscious raspberry and macerated currant, Mendoza Malbec has dark, juicy finish. This wine is vivid and racy in character. The winery wishes to honor the insignia variety of Mendoza and to emphasize all the characteristics of this unique cepage. The work in the vineyards reinforces leaf system over root system, and emphasizes the soul of the fruit."
Achaval-Ferrer Mendoza Malbec 2012,Argentina,Red Wine,91,"Rich with luscious raspberry and macerated currant, Mendoza Malbec has a dark, juicy finish. This wine is vivid and racy in character."
Achaval-Ferrer Mendoza Malbec 2013,"Mendoza, Argentina",Red Wine,90,"Rich with luscious raspberry and macerated currant, Mendoza Malbec has a dark, juicy finish. This wine is vivid and racy in character."
Achaval-Ferrer Mendoza Malbec 2014,"Mendoza, Argentina",Red Wine,90,"The textbook definition of Malbec. Bright ruby red in color, this wine is fresh and floral, featuring blackberry, raspberry and violets on the nose and palate. The wine is dense and thick with a noticeable minerality, silky tannins mark a lengthy finish. Low yields, careful vineyard management and low intervention winemaking are the hallmark of this and all other Achaval-Ferrer wines."
Achaval-Ferrer Mendoza Malbec 2015,"Mendoza, Argentina",Red Wine,91,"The textbook definition of Malbec. Bright ruby red in color, this wine is fresh and floral, featuring blackberry, raspberry, and violets on the nose and palate. The wine is dense and thick with a noticeable minerality, silky tannins mark a lengthy finish. Low yields, careful vineyard management, and low intervention winemaking are the hallmark of this and all other Achaval-Ferrer wines."
Achaval-Ferrer Mendoza Malbec 2018,"Mendoza, Argentina",Red Wine,91,"Malbec Mendoza is an inevitable reflection of the variety that is emblematic to our country, the mountainous ranges of the Andes and the sun. Composed of various vineyards, located in the major geographic references that the Cuyana province offers, this young wine, potent and velvety wine, expresses pleasure, smooth and soft, combining land and flavors in one clear strong message. This wine explains Malbec as well as Mendoza in one universal language."
Achaval-Ferrer Quimera 2001,Argentina,Red Wine,90,"""Focused, streamlined wine, with raspberry, cassis, violet and mineral flavors. Long finish. Remarkably racy, considering the dense, ripe fruit, so this should flesh out. Cabernet Sauvignon, Malbec and Merlot. Drink now through 2005."""
Achaval-Ferrer Quimera 2006,Argentina,Red Wine,90,"""The 2006 Quimera reveals a similar luxurious personality, layers of flavor, and a finish that just won't quit. This sensational wine can be enjoyed in its succulent youth but should still be going strong in 12-15 years.  "
Achaval-Ferrer Quimera 2007,Argentina,Red Wine,90,"The winemaking team worked in the vineyards in search of different aspects for each variety. These were thought of as parts of a complex wine, in such a way that the total is more than the sum of the parts. The location of the vineyards, the age of the plants, the viticultural program and the irrigation schedules, all worked towards the same goal. Once in the winery, each variety underwent primary fermentation in a small tank. The early blending is a risky practice, but helps towards a seamless integration of the varieties, a wine with only ""one soul"". The result is a wine that is not just the sum of three varietals, but another milestone in the search of an ideal. That is the explanation of the Quimera name: an impossible goal, but one worth working for.  "
Achaval-Ferrer Quimera 2008,Argentina,Red Wine,92,"The winemaking team worked in the vineyards in search of different aspects for each variety. These were thought of as parts of a complex wine, in such a way that the total is more than the sum of the parts. The location of the vineyards, the age of the plants, the viticultural program and the irrigation schedules, all worked towards the same goal. Once in the winery, each variety underwent primary fermentation in a small tank. The early blending is a risky practice, but helps towards a seamless integration of the varieties, a wine with only ""one soul"". The result is a wine that is not just the sum of three varietals, but another milestone in the search of an ideal. That is the explanation of the Quimera name: an impossible goal, but one worth working for.  "
Achaval-Ferrer Quimera 2009,Argentina,Red Wine,93,"Expressive flavors of black cherry, raspberry, violets, and cedar, Quimera is complex, layered and rich. "
Achaval-Ferrer Quimera 2010,Argentina,Red Wine,91,"Expressive flavors of black cherry, raspberry, violets, and cedar, Quimera is complex, layered and rich. It is recommended that wine decant at least an hour before drinking. This wine can be cellared for 10-20 years.  "
Achaval-Ferrer Quimera 2011,"Uco Valley, Mendoza, Argentina",Red Wine,92,"Expressive flavors of black cherry, raspberry, violets, and cedar, Quimera is complex, layered and rich."
Achaval-Ferrer Quimera 2012,"Mendoza, Argentina",Red Wine,90,"A deeply nuanced wine, scented with notes winding from earth and boulder, to dark fruit, up to delicate rosemary hints. It is ample on the palate, with delicious and almost feminine acidity. Quimera is heuristic, an intimate discovery, a search for perfection."
Achaval-Ferrer Quimera 2013,"Mendoza, Argentina",Red Wine,90,"A deeply nuanced wine, scented with notes winding from earth and boulder, the dark fruit, up to delicate rosemary hints. It is ample in the palate, with delicious and almost feminine acidity. "
Acinum Amarone della Valpolicella 2012,"Valpolicella, Veneto, Italy",Red Wine,90,"Deep ruby red color with pomegranate reflections. An ethereal nose which reminds one of peach blossoms, violet, raspberry and mint. On the palate it is intense, refined; it displays full body and smoothness, with clear notes of dried grapes."
Acinum Amarone della Valpolicella 2015,"Valpolicella, Veneto, Italy",Red Wine,91,"Deep ruby red colour with pomegranate reflections. Aromas of peach blossoms, violet, raspberry and mint. On the palate it is intense yet refined; it displays full body and smoothness, with clear notes of dried grapes."
Acre Cabernet Sauvignon 2015,"Napa Valley, California",Red Wine,93,"The 2015 Cabernet Sauvignon is the perfect representation of Napa Valley Cabernet, from its deep ruby color with a garnet rim to the initial aroma of blackberry and pepper which give way to hints of vanilla, cedar, summer plum and black cherry."
Acrobat Pinot Gris 2009,Oregon,White Wine,90,"Acrobat Pinot Gris is an extremely approachable wine and a versatile food companion. It has been consistently praised for it's value, delivering great quality for a modest price."
Acrobat Pinot Gris 2010,Oregon,White Wine,88,"Acrobat Pinot Gris is an extremely approachable wine and a versatile food companion. It has been consistently praised for it's value, delivering great quality for a modest price."
Acrobat Pinot Gris 2011,Oregon,White Wine,89,"The 2011 Acrobat Pinot Gris is pale straw in color with golden highlights. Aromas of grapefruit, honey suckle, lime zest and fenugreek. Flavors of honeydew, white grapefruit, fresh pear and golden delicious apple, with floral notes and spice. On the palate, it is viscous and crisp, with a hint of sweetness and good length."
Acrobat Pinot Gris 2012,Oregon,White Wine,89,"Acrobat Pinot Gris is a translucent, pale straw color. Rich citrus aromas, tropical papaya, pineapple and lychee unfold, with hints of limestone and honeysuckle floral notes. Lemon and lime ripeness on entry, evolving with honeydew melon, golden delicious apple mid-palate, and lingering with notes of kiwi. Light and well-balanced entry, full mid-palate, with a crisp lingering finish."
Acrobat Pinot Gris 2013,Oregon,White Wine,90,"Acrobat is wine born to introduce even more people to the style and grace of Pinot Gris. Grown responsibly in the gorgeous hills and valleys of Oregon, this wine works wonderfully with food of all kinds and is equally crisp and refreshing on its own."
Acrobat Pinot Gris 2014,Oregon,White Wine,88, A youthful wine with a delicate entrance that rounds on the mid palate and a refreshing acidity that carries through the finish. Take in the bright citrus and honeysuckle notes complimented by green apple and a lingering minerality.
Acrobat Pinot Gris 2015,Oregon,White Wine,90,#1 
Acrobat Pinot Gris 2016,Oregon,White Wine,89,"A light-gold hue in color, the 2016 Acrobat Pinot Gris shines through with bright, crisp flavor. Rose petal elements on the nose highlight balanced citrus components of lemon and grapefruit. Following the nose are flavors of fresh lime, lemon zest, and green apple. These mingle on the mid-palate, rounding out a medium bodied mouthfeel with a refreshing, bright  finish. Enjoy now until 2026."
Acrobat Pinot Gris 2017,Oregon,White Wine,90,"A light-gold hue in color, the Acrobat Pinot Gris shines through with bright, crisp flavors. Rose petal elements on the nose highlight balanced citrus components of lemon and grapefruit. Following the nose are flavors of fresh lime, lemon zest, and green apple. These mingle on the mid-palate, rounding out a medium bodied mouthfeel with a refreshing, bright finish."
Acrobat Pinot Noir 2009,Oregon,Red Wine,91,"Bright garnet with ruby tint.  A nose of sweet cherry, tobacco, earth, raspberry, oak, floral notes.Flavor of blueberry, dried cherry, chocolate and spice.  Silky mouthfeel, lively mid palate and a  round finish."
Acrobat Pinot Noir 2012,Oregon,Red Wine,90,#78 
Acrobat Pinot Noir 2013,Oregon,Red Wine,90,"Aromas of bright fruit lead into flavors of cherry cola, cranberry, earth leather that give way to vanilla and plum. The finish blends fruit and earth together for a lush and generously lingering experience. "
Acrobat Pinot Noir 2015,Oregon,Red Wine,90,"The 2015 vintage is a brilliant example of Pinot Noir from a consistent and warmer than average Western Oregon growing season. In the glass, there is a garnet-colored center with bright ruby edges. The nose has rich, fruit-forward aromas of ripe cherries and strawberry pie, with hints of cinnamon, vanilla, and mocha. The palate echoes with ripe strawberries and dark chocolate up front, followed by earthy and spicy notes of forest floor and clove. Expect this to age beautifully through the next decade."
Acrobat Rose of Pinot Noir 2013,Oregon,Pink and Ros?,88,Acrobat is wine born to introduce even more people to the power and grace of Pinot Noir Rose. Acrobat Ros is a fruit forward wine with lots of red fruit flavors balanced by a lively acidity and clean finish. The 2013 vintage shows wonderful notes of strawberry and rhubarb pie with wild hints of key lime zest and spice. Enjoy now through 2016.
Acrobat Rose of Pinot Noir 2014,Oregon,Pink and Ros?,89,Acrobat Rose is a fruit forward wine with lots of red fruit flavors balanced by a lively acidity and clean finish. The 2014 vintage shows supple fruit layers at the entrance. Fresh acid brings out the citrus while spice and floral notes carry the wine through a smooth and clean finish.
Acrobat Rose of Pinot Noir 2016,Oregon,Pink and Ros?,89,"2016 Acrobat Rose of Pinot Noir has an exuberant pink color with salmon hues. The nose exudes a freshness of lime zest, pomegranate, and just ripe strawberries, structured with a pleasant violet aroma. Red cherries are immediately apparent on the palate with orange blossom, key lime, and potpourri. This wine is lively and playful from the onset with focused acidity that balances the juicy fruit flavors."
Acrobat Rose of Pinot Noir 2017,Oregon,Pink and Ros?,89,"2017 Acrobat Ros? of Pinot Noir has a beautiful, vibrant hue of pale pink Pinot Noir skins. The nose exudes fresh cut strawberries with lemon zest and orange tinges. The palate is laser focused with bright flavors of fresh strawberries and raspberries, with a pleasant structure of lively, clean acidity. There is an overall striking balance of fresh fruit and structure that begs to be paired with a variety of food, especially cheeses and charcuterie."
Acumen Mountainside Sauvignon Blanc 2017,"Napa Valley, California",White Wine,91,"This lovely pale and golden straw colored Sauvignon Blanc begins with a bouquet of citrus blossoms, fresh tangerines, Bosc pear, and jasmine. On the palate, this medium-bodied wine continues with flavors of ripe white grapefruits, mandarin oranges, and caramelized Meyer lemon cream along with notes of pineapple rind, lemon verbena and wet slate. A clean acidity and pleasant texture frames the long and pure finish of this enjoyable and refreshing wine. "
Acustic Celler Acustic Blanc 2010,"Jumilla, Spain",White Wine,90,"Light gold-colored, it exhibits an alluring nose of baking spices, buttered popcorn, peach skin, and tropical aromas. This is followed by a rich, smooth-textured, spicy wine that has good balancing acidity and a lengthy, fruit-filled finish.  "
Acustic Celler Acustic Montsant 2007,"Jumilla, Spain",Red Wine,90,This acoustic ( unplugged ) wine is based on the wisdom of the ancient vineyards of Garnacha and Sams? (Carinena) and the old tradition of winemaking from the ancient vine growers. 
Acustic Celler Acustic Montsant 2008,"Jumilla, Spain",Red Wine,91,"Ac?stic wines show the ""acustic ""(unplugged) identity of the cellar. They show expressive fruitiness from the beautiful ancient traditional varieties vineyards. No make up, no electricity, just a touch of vineyard, history and tradition. Nicely balanced acidity and expressivity and softness at the same time showing the harmony of the wisdom of the native ancient vineyards. Enjoying the landscape and environment of the area while tasting the wine!!!"
Acustic Celler Acustic Montsant 2009,"Jumilla, Spain",Red Wine,91,"Ac?stic wines show the ""acustic"" (unplugged) identity of the cellar. They show expressive fruitiness from the beautiful ancient traditional varieties vineyards. No make up, no electricity, just a touch of vineyard, history and tradition. Nicely balanced acidity and expressivity and softness at the same time showing the harmony of the wisdom of the native ancient vineyards. Enjoying the landscape and environment of the area while tasting the wine!!! "
Acustic Celler Brao 2011,"Jumilla, Spain",Red Wine,91,The story here is in the art of blending 8 villages within Montsant to create a wine that shows the power of the DO. 
Acustic Celler Brao 2012,"Jumilla, Spain",Red Wine,92,The story here is in the art of blending 8 villages within Montsant to create a wine that shows the power of the DO. 
Adami Garbel Brut Prosecco,"Prosecco, Italy",Sparkling & Champagne,90,"Garb?l, which in ancient local dialect means adry, crisp, pleasantly tart wine, is produced from the hilly vineyards in the Colli Trevigiani area. The ample nose releases crisp-edged, complexfruit notes, and the palate is full-flavored with a crisp acidity. A wonderfully versatile sparkler, Garb?l's 13 grams of residual sugar place it between the Brut and Extra Dry styles, making it perfect for wine bars as well as celebrations."
Adami Prosecco di Valdobbiadene Dry Vigneto Giardino 2007,"Valdobbiadene, Prosecco, Italy",Sparkling & Champagne,93,"Vigneto Giardino displays its truest characteristics--crisp, fresh, and fruity--if consumed in the year after vintage. However, in the following years, if cellared under proper conditions, intensity of flavors and fruitiness will lessen somewhat, but the wine-lover may be pleasantly surprised by a greater complexity on nose and palate."
ADAMVS Quintvs 2012,"Howell Mountain, Napa Valley, California",Red Wine,94,"Dense purple in color with sweet cr?me de cassis notes intermixed with mocha, espresso bean, vanilla and graphite. This full-bodied, rich and layered estate Cabernet Sauvignon should drink well for 15-20 years. "
